Name,Title,Company,Person_Location,Company_HQ,Research_Keywords
Sarah Mendoza,Associate Director Preclinical Safety,Genentech,South San Francisco CA,South San Francisco CA,hepatotoxicity assessment; 3D spheroid models; DILI prediction; human iPSC-hepatocytes
James Kowalski,Senior Scientist - In Vitro Toxicology,AstraZeneca,Cambridge UK,Cambridge UK,organotypic liver cultures; bile acid transporter toxicity; mitochondrial dysfunction assays
Priya Sharma,Head of Translational Safety,Vertex Pharmaceuticals,Boston MA,Boston MA,cystic fibrosis therapeutics; respiratory toxicology; precision-cut lung slices
Michael Chen,Principal Scientist,Takeda,San Diego CA,Tokyo Japan,neurotoxicity screening; blood-brain barrier models; 3D neurospheres
Elena Rossi,Director of DMPK and Safety,Replimune,Woburn MA,Woburn MA,oncolytic virus safety; immune-oncology platforms; biodistribution studies
Thomas Schneider,Group Leader Organ-on-Chip,Roche,Basel Switzerland,Basel Switzerland,microphysiological systems; liver-on-chip; multi-organ toxicity modeling
Amanda Liu,Senior Research Scientist,Moderna,Cambridge MA,Cambridge MA,LNP formulation toxicity; mRNA delivery systems; endothelial cell models
David Okonkwo,Associate Director Nonclinical Development,Gilead Sciences,Foster City CA,Foster City CA,antiviral safety pharmacology; renal toxicity; 3D kidney organoids
Rebecca Thornton,Lead Scientist - Predictive Toxicology,Recursion Pharmaceuticals,Salt Lake City UT,Salt Lake City UT,machine learning for drug discovery; chemical library screening; automated image analysis
Luis Martinez,VP Preclinical Research,Aligos Therapeutics,South San Francisco CA,South San Francisco CA,chronic hepatitis B models; liver fibrosis; 3D co-culture systems
Sophie Dubois,Senior Toxicologist,Sanofi,Chilly-Mazarin France,Paris France,regulatory submission strategies; GLP study design; clinical pathology endpoints
Hiroshi Tanaka,Principal Investigator,Eisai,Tsukuba Japan,Tokyo Japan,CNS drug development; Alzheimer's disease models; neurodegenerative pathways
Grace Osei,Director of Safety Assessment,Beam Therapeutics,Cambridge MA,Cambridge MA,base editing safety; genotoxicity testing; primary human cell systems
Markus Weber,Head of In Vitro ADME,Boehringer Ingelheim,Biberach Germany,Ingelheim Germany,transporter kinetics; plasma protein binding; species differences in metabolism
Jennifer Park,Research Scientist II,Encellin Pharmaceuticals,San Francisco CA,San Francisco CA,encapsulated cell therapy; immune isolation; glucose-responsive insulin delivery
